7,1,-10.798,-2.0664
15,1,-10.363,-2.0642
15,2,-10.711,-2.5378
23,1,-9.9287,-2.0619
23,2,-10.362,-2.5169
31,1,-9.494,-2.0597
31,2,-10.014,-2.496
39,1,-9.0594,-2.0575
39,2,-9.6651,-2.4751
47,1,-8.6248,-2.0553
47,2,-9.257,-2.4957
55,1,-8.1867,-2.0428
55,2,-8.8291,-2.5301
63,1,-7.7465,-2.0243
63,2,-8.4013,-2.5646
71,1,-7.3062,-2.0057
71,2,-7.9734,-2.5991
79,1,-6.866,-1.9871
79,2,-7.5197,-2.6157
87,1,-6.4258,-1.9685
87,2,-7.0506,-2.6215
87,3,2.568,2.7482
95,1,-5.9856,-1.9499
95,2,-6.5814,-2.6274
95,3,2.1803,2.1426
103,1,-5.5987,-1.9449
103,2,-6.1128,-2.6251
103,3,1.756,1.7102
111,1,-5.3008,-1.9625
111,2,-5.6455,-2.5982
111,3,1.3317,1.2779
119,1,-5.0028,-1.9801
119,2,-5.1783,-2.5712
119,3,0.89488,0.85039
127,1,-4.6745,-1.9852
127,2,-4.7145,-2.5478
127,3,0.37081,0.45688
135,1,-4.3159,-1.978
135,2,-4.2607,-2.5351
135,3,-0.15327,0.063375
143,1,-3.9572,-1.9707
143,2,-3.807,-2.5224
143,3,-0.66251,-0.25935
151,1,-3.4994,-1.9415
151,2,-3.3532,-2.5096
151,3,-1.1569,-0.5113
159,1,-3.0086,-1.9051
159,2,-2.8679,-2.4939
159,3,-1.6513,-0.76325
167,1,-2.5178,-1.8686
167,2,-2.378,-2.4776
167,3,-2.2972,-0.97104
175,1,-2.027,-1.8321
175,2,-1.8882,-2.4614
175,3,-2.9624,-1.1743
183,1,-1.5351,-1.7838
183,2,-1.3983,-2.4452
183,3,-3.6125,-1.3901
191,1,-1.0427,-1.7284
191,2,-0.90848,-2.4289
191,3,-4.2625,-1.606
199,1,-0.55028,-1.6729
199,2,-0.4289,-2.3839
199,3,-4.9094,-1.8014
207,1,-0.057846,-1.6175
207,2,0.050677,-2.3389
207,3,-5.5466,-1.9359
215,1,0.43117,-1.5768
215,2,0.53025,-2.294
215,3,-6.1839,-2.0704
215,5,-0.99086,2.7096
